Date,Utilisateurs
01/01/2018,268
02/01/2018,331
03/01/2018,403
04/01/2018,339
05/01/2018,289
06/01/2018,267
07/01/2018,341
08/01/2018,289
09/01/2018,240
10/01/2018,217
11/01/2018,195
12/01/2018,251
13/01/2018,245
14/01/2018,224
15/01/2018,278
16/01/2018,210
17/01/2018,163
18/01/2018,168
19/01/2018,178
20/01/2018,183
21/01/2018,220
22/01/2018,246
23/01/2018,246
24/01/2018,191
25/01/2018,213
26/01/2018,195
27/01/2018,211
28/01/2018,325
29/01/2018,295
30/01/2018,221
31/01/2018,256
01/02/2018,260
02/02/2018,233
03/02/2018,265
04/02/2018,259
05/02/2018,320
06/02/2018,299
07/02/2018,314
08/02/2018,273
09/02/2018,274
10/02/2018,276
11/02/2018,359
12/02/2018,357
13/02/2018,275
14/02/2018,254
15/02/2018,270
16/02/2018,310
17/02/2018,288
18/02/2018,300
19/02/2018,291
20/02/2018,256
21/02/2018,261
22/02/2018,239
23/02/2018,265
24/02/2018,346
25/02/2018,252
26/02/2018,214
27/02/2018,210
28/02/2018,157
01/03/2018,162
02/03/2018,200
03/03/2018,147
04/03/2018,140
05/03/2018,148
06/03/2018,109
07/03/2018,138
08/03/2018,121
09/03/2018,127
10/03/2018,118
11/03/2018,104
12/03/2018,114
13/03/2018,110
14/03/2018,94
15/03/2018,105
16/03/2018,113
17/03/2018,82
18/03/2018,96
19/03/2018,94
20/03/2018,106
21/03/2018,85
22/03/2018,88
23/03/2018,78
24/03/2018,87
25/03/2018,109
26/03/2018,95
27/03/2018,96
28/03/2018,109
29/03/2018,102
30/03/2018,90
31/03/2018,137
01/04/2018,110
02/04/2018,167
03/04/2018,171
04/04/2018,151
05/04/2018,87
06/04/2018,74
07/04/2018,63
08/04/2018,56
09/04/2018,42
10/04/2018,55
11/04/2018,48
12/04/2018,34
13/04/2018,30
14/04/2018,43
15/04/2018,24
16/04/2018,45
17/04/2018,23
18/04/2018,29
19/04/2018,24
20/04/2018,19
21/04/2018,16
22/04/2018,17
23/04/2018,24
24/04/2018,20
25/04/2018,30
26/04/2018,21
27/04/2018,15
28/04/2018,21
29/04/2018,20
30/04/2018,17
01/05/2018,25
02/05/2018,27
03/05/2018,17
04/05/2018,11
05/05/2018,11
06/05/2018,7
07/05/2018,17
08/05/2018,13
09/05/2018,16
10/05/2018,8
11/05/2018,7
12/05/2018,12
13/05/2018,16
14/05/2018,17
15/05/2018,21
16/05/2018,29
17/05/2018,20
18/05/2018,20
19/05/2018,10
20/05/2018,13
21/05/2018,18
22/05/2018,30
23/05/2018,29
24/05/2018,13
25/05/2018,11
26/05/2018,10
27/05/2018,11
28/05/2018,17
29/05/2018,28
30/05/2018,25
31/05/2018,19
01/06/2018,11
02/06/2018,12
03/06/2018,18
04/06/2018,27
05/06/2018,14
06/06/2018,29
07/06/2018,20
08/06/2018,27
09/06/2018,12
10/06/2018,14
11/06/2018,26
12/06/2018,21
13/06/2018,128
14/06/2018,44
15/06/2018,32
16/06/2018,19
17/06/2018,20
18/06/2018,40
19/06/2018,26
20/06/2018,27
21/06/2018,31
22/06/2018,27
23/06/2018,24
24/06/2018,21
25/06/2018,21
26/06/2018,39
27/06/2018,19
28/06/2018,24
29/06/2018,24
30/06/2018,14
01/07/2018,17
02/07/2018,21
03/07/2018,29
04/07/2018,30
05/07/2018,25
06/07/2018,17
07/07/2018,24
08/07/2018,24
09/07/2018,39
10/07/2018,28
11/07/2018,30
12/07/2018,18
13/07/2018,25
14/07/2018,16
15/07/2018,31
16/07/2018,44
17/07/2018,38
18/07/2018,31
19/07/2018,26
20/07/2018,24
21/07/2018,20
22/07/2018,34
23/07/2018,36
