,Titre,Commentaires,Date,Lien,Auteur,Lien auteur
0,"Fermeture du centre culturel des sourds : Lausanne, entends-tu ?",0,2019-03-11T11:35:13+00:00,https://www.lausannebondyblog.ch/fermeture-du-centre-culturel-des-sourds-lausanne-entends-tu/,Emmanuel Gaillard,['https://www.lausannebondyblog.ch/author/emmanuel/']
1,"OCUB 135 : Égalité des sexes, cinoche, projection de documentaire et urbanisme participatif",0,2019-03-06T11:44:51+00:00,https://www.lausannebondyblog.ch/ocub-135-egalite-des-sexes-cinoche-projection-de-documentaire-urbanisme-participatif/,Mathieu Droux,['https://www.lausannebondyblog.ch/author/mathieu/']
2,Toilettes de tibits : le mystère de la porte sans loquet,1,2019-02-25T13:05:57+00:00,https://www.lausannebondyblog.ch/toilettes-de-tibits-le-mystere-de-la-porte-sans-loquet/,Lucien,['https://www.lausannebondyblog.ch/author/lucien/']
3,«Nous ne disparaîtrons pas» questionne l’impact des réseaux sociaux sur notre intimité à la Maison de Quartier de Chailly,0,2019-02-10T14:22:06+00:00,https://www.lausannebondyblog.ch/nous-ne-disparaitrons-pas-questionne-limpact-des-reseaux-sociaux-sur-notre-intimite-a-la-maison-de-quartier-de-chailly/,Julie Collet,['https://www.lausannebondyblog.ch/author/julie/']
4,Quand Lausanne se floute pour mieux se révéler,0,2019-02-06T15:05:09+00:00,https://www.lausannebondyblog.ch/quand-lausanne-se-floute-pour-mieux-se-reveler/,Manon Mariller,['https://www.lausannebondyblog.ch/author/manon/']
5,Lever de rideau sur la colère: RUPTURES,0,2018-12-14T13:01:58+00:00,https://www.lausannebondyblog.ch/lever-de-rideau-sur-la-colere-ruptures/,Manon Mariller,['https://www.lausannebondyblog.ch/author/manon/']
6,Petites bouffes au Bô Noël,0,2018-12-12T12:05:48+00:00,https://www.lausannebondyblog.ch/petites-bouffes-au-bo-noel/,Billet collectif du LBB,['https://www.lausannebondyblog.ch/author/admin/']
7,"OCUB 134 : De la musique, du ciné et des montagnes, un programme hivernal simple et efficace",0,2019-03-06T11:43:35+00:00,https://www.lausannebondyblog.ch/ocub-134/,Manon Mariller,['https://www.lausannebondyblog.ch/author/manon/']
8,10 ans déjà ! Souvenirs et divagations de trois anciennes plumes du LBB,0,2018-11-19T09:49:42+00:00,https://www.lausannebondyblog.ch/10-ans-deja-souvenirs-et-divagations-de-trois-anciennes-plumes-du-lbb/,Billet collectif du LBB,['https://www.lausannebondyblog.ch/author/admin/']
9,"OCUB 133 : Musique, ciné et vin chaud contre le blues hivernal",0,2018-11-18T22:36:31+00:00,https://www.lausannebondyblog.ch/ocub-133-musique-cine-et-vin-chaud-contre-le-blues-hivernal/,Yoan,['https://www.lausannebondyblog.ch/author/yoan/']
